sha256	size	selection	origin (escaped)
72b6a5add7f7e236b19622107efe3759ab852e2285c7e9485e9e68e677fd2131	1112	member-rule	bac-v10/amiga_charset/bloody_decision2.txt
130f44689322182982129d47a7d41600aa77f86e0458baafd10acf05d7f11591	1485	member-rule	bac-v10/amiga_charset/blue_nose.txt
3e8509aee4f2836b279f8e93d247c488184efe8a113bfdc83a5292f0bb05c9bd	1100	member-rule	bac-v10/amiga_charset/bodycount.txt
801bfdd6c206810ba186f6816332a84381f1952c61b35b2cd2df7456ab9323d0	1112	member-rule	bac-v10/amiga_charset/bodycount2.txt
1ef1b71e975079725d0e0209faa31f5e322239d1dc99909f907a6a77b1fe0fbc	1718	member-rule	bac-v10/amiga_charset/bogus_exception.txt
2151ba1d5e4fe248a8f4ac12827dd2951440579692c8945ddadc6e6fab0beb0c	2500	member-rule	bac-v10/amiga_charset/boondocks.txt
9f0aeece98d58ec3e68432f46c4ccb21822285bd0c7d302d1f127027455083ec	1490	member-rule	bac-v10/amiga_charset/boondocks2.txt
356fd3ea5b8378c47dcae90a5ac9fcbe70c5a6d9e42149abe962137d76147c7b	2003	member-rule	bac-v10/amiga_charset/brain_damage.txt
f8ca6e7d9892edc14d217210682f92e03a43b98cfd001e776bc0fde2247cb6bd	1354	member-rule	bac-v10/amiga_charset/brain_damage2.txt
41a38a08091a2f124f99eb74777e1595d13665197d8aa5ec187acadf1c546eeb	1103	member-rule	bac-v10/amiga_charset/brain_damage3.txt
3d989fcea06435cc5c3b2068d513eb45f522e3b9c485781daafc84e8d10a557d	1746	member-rule	bac-v10/amiga_charset/braindead.txt
9b88665de32cd59495236ec59e68bfae31d6a48a3921a2a5950ee04ab2de0dcd	1134	member-rule	bac-v10/amiga_charset/break_away.txt
6352bba4d8ebe749a889c64e3738a3e981b67c335cfa813b8f3b7dbc8bd67575	1007	member-rule	bac-v10/amiga_charset/broadway.txt
8286477aaf226cebf77219b1d5d60c0c0af3dae297d5f43bd62a267e13cb5848	1211	member-rule	bac-v10/amiga_charset/burger_bar.txt
b5ab70532d3bec82ac06631992b3491d1774776e39de174a8db6bd1d99036bab	1925	member-rule	bac-v10/amiga_charset/burger_bar2.txt
87522ee5bea245a688e9c4cff1123632c613100f94dc3564d7366477f552ff95	1906	member-rule	bac-v10/amiga_charset/bustin_loose.txt
96e080b6e210b534834d71944d35f58c791713b20bfb2e4713b606f3e76b2ca2	1799	member-rule	bac-v10/amiga_charset/bustin_loose2.txt
16fbd803d9ff80aa501612e74eee4a5cd049b199d4b9205c7c09509c3221a6d1	937	member-rule	bac-v10/amiga_charset/bustin_loose3.txt
83bc4ed2ea324698b55a4778baecff33349356b6f4fba8fda63449c57a3e5e7a	666	member-rule	bac-v10/amiga_charset/bustin_loose4.txt
00809ed9bc29db09959498cefdade8bc3f4b1f43c7e3725c77b466c97d7bb7de	1454	member-rule	bac-v10/amiga_charset/but_4_warez.txt
a46c6bffc9292c48f3d78c6b3225dcfa1e0f70ad0831640fb1adde5323d672f7	1081	member-rule	bac-v10/amiga_charset/byte_paradise.txt
1deb789d6dd467b9d6920e2883c9fb992a868ea5d970c77476df85f0f59a8389	1441	member-rule	bac-v10/amiga_charset/cadavar.txt
db44086b214fff3efa966894ca28003674e7ad5922ea645370cd75524d9f49f0	1166	member-rule	bac-v10/amiga_charset/caligula.txt
4df23145dbad71c4a6b8294b8cf57d5e4abd16550da35bf582a6212ab5015a86	1511	member-rule	bac-v10/amiga_charset/carrier_command.txt
9c3ec48f6fa68a2719cc9ee6dcb1d0ba7b8002b6de5bd69748cd5b04c90efc6b	1297	member-rule	bac-v10/amiga_charset/carrier_in_space.txt
272937e288c44becae034651593a201feb9dfa2b4613390c2d7cf163e412577f	1650	member-rule	bac-v10/amiga_charset/carrier_in_space2.txt
7762c4ffddaec434eabd5b900e8790d1fdf9f07fb1d13e9085614f274de82ccc	1541	member-rule	bac-v10/amiga_charset/castle_rock.txt
1d6b21e913427ad4292662768e23581831dbb03775a9cf195afec4a040bc8a37	1116	member-rule	bac-v10/amiga_charset/cement_city.txt
57d3991c0a275a58e250ab4d0a284f652a50a63da6191460a19f52aed867b51d	821	member-rule	bac-v10/amiga_charset/central_nervous_system.txt
050cfc8668095e899295e4e2134163563fe8e6c1e8a4e83253594e13005e7427	1538	member-rule	bac-v10/amiga_charset/central_park.txt
344e1f293f225e0e3ee130489a0d23f8f9c36507a709862b4b77e47a1c3f4bcd	1383	member-rule	bac-v10/amiga_charset/central_park2.txt
301a2a3a11afcac334ee76c82384192dd2fbd120273d7f2917529bca129d948c	2146	member-rule	bac-v10/amiga_charset/chain_of_snow.txt
fdac47e7dcc6a76cf018f3c0e5d4f218e9e87e8c83b4e5a297b62c5662598f1a	1196	member-rule	bac-v10/amiga_charset/channel_x.txt
45449d44649127f9df7dfb702ebd84a14d8bb265333cc42af2cb8d2d35f98f99	1673	member-rule	bac-v10/amiga_charset/chemical_genocide.txt
bffacf4a85bf94a660f6a2dfc8b4d0af85f3426225f22c6fd0ae8c5103f64222	971	member-rule	bac-v10/amiga_charset/cherry_moon.txt
47efe63b90baee5a05f0f941b124e341ca96e961bf56ffe4936d5c84a72c68e9	1316	member-rule	bac-v10/amiga_charset/cherry_tree.txt
