origin	raw_sha256	rule_id	action	encoding	legacy_rule_takes_precedence
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/usered_2dg.zip![8]:USERBED.LSD	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/vflst100.zip![15]:LSDACID.TRP	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/wall_312.zip![2]:REGISTER.NOT	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/1txds130.zip![7]:DOORS.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/1txdxtra.zip![4]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/316to317.zip![10]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/316to317.zip![11]:DOORS.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/4corn14.zip![12]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/500bbs21.zip![10]:DOORS.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/5dhang10.zip![6]:DOORS.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/5dws193.zip![74]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/99v13.zip![10]:DOORS.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/DoorConverters/bounce20.zip![17]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/DoorConverters/busy_v10.zip![10]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/DoorConverters/cecho11.zip![6]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/DoorConverters/cvtdoor.zip![4]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/DoorConverters/dl31.zip![8]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/DoorConverters/dropchop.zip![5]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/DoorConverters/dt51a.zip![8]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Doors/DoorConverters/exitbug.zip![3]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
