origin	sha256	rule	action	first_line	last_line
PCboard-PPE-s-A-C/agsnmai0.zip::FILE_ID.DIZ	e6041603cb007100e57fa6ce9245cbdf08cba6702b4dbd0297298f2e1d69b6c1	critical-strike-transit	AutoClean	11	16
PCboard-PPE-s-A-C/amiu060.zip::FILE_ID.DIZ	79316d582697b3a04a882c1a83d79f0391ff9fcffc3df5c2ec88c791a471a716	liquid-whq-footer	AutoClean	15	16
PCboard-PPE-s-A-C/bcpg10.zip::FILE_ID.DIZ	a60ce8a9f167ac1da235ddb2bbbd4151b297947961770b1b24c5632e96eb9f4f	kort-whq-upload	AutoClean	12	14
PCboard-PPE-s-A-C/bcwm051.zip::FILE_ID.DIZ	e08169dac114a32a512e43c46f065d412f5ad0bd749b04da10e0f2cf32b66e18	wild-thing-euro-connection	AutoClean	13	14
PCboard-PPE-s-A-C/blot_ul.zip::FILE_ID.DIZ	05acb1732dc6b7a7daf06282e8d3e6aa2e6134e438bc5ccb6e758a9a26ba8bdd	lords-couriering-94	AutoClean	14	14
PCboard-PPE-s-A-C/bpc_2dqb.zip::FILE_ID.DIZ	3c49057a2ca1bdd961ea984d5137b3d134eaf2e888bc1f95ffff1c7276dadad8	bsbbs-phone-obfuscated	AutoClean	18	18
PCboard-PPE-s-A-C/bpc_2dreg3.zip::FILE_ID.DIZ	734f03dbf77b46d16f51f4cce2c7c92d52b04d028d35eb93da25ca4975c9cec8	bsbbs-phone-obfuscated	AutoClean	17	17
PCboard-PPE-s-A-C/bpc_2dub10.zip::FILE_ID.DIZ	52be23638df013e566feb840e7a30ceaf36d66111d9f39a66e84e76748578af7	bsbbs-phone-obfuscated	AutoClean	20	20
PCboard-PPE-s-A-C/bpc_2dub10.zip::FILE_ID.DIZ	52be23638df013e566feb840e7a30ceaf36d66111d9f39a66e84e76748578af7	bsbbs-phone	AutoClean	19	19
PCboard-PPE-s-A-C/bpc_2duj11.zip::FILE_ID.DIZ	da8f985853e9f70f22a102f6d4a87ddd414a3017e26d83497d7b5960f8b2781d	bsbbs-phone-obfuscated	AutoClean	21	21
PCboard-PPE-s-A-C/bpc_2duj11.zip::FILE_ID.DIZ	da8f985853e9f70f22a102f6d4a87ddd414a3017e26d83497d7b5960f8b2781d	bsbbs-phone	AutoClean	20	20
PCboard-PPE-s-A-C/bpc_2dzp4.zip::FILE_ID.DIZ	cb6366f57f6c6f1cd8bb8793b352b3a967376c100220d18314caec642878ec0c	bsbbs-phone-obfuscated	AutoClean	20	20
PCboard-PPE-s-A-C/caz_2dentr.zip::FILE_ID.DIZ	67f67e277aff69dd05648f0389e499ac00426394cd594486f3a011d6b6ccf532	eyes-cream-transit	AutoClean	13	17
PCboard-PPE-s-A-C/caz_2dentz.zip::FILE_ID.DIZ	1b481b2f84603d52f63d8ab0a1e3b4a2f24ba0c4fe556bd40024fdb2c1e8d447	eyes-cream-transit	AutoClean	13	17
PCboard-PPE-s-A-C/caz_2dgte.zip::FILE_ID.DIZ	777275b7a15d1fc9a0bf3aaae8e6c30fe7cdd9fd282b832d0fe8d9360a759e0b	eyes-cream-transit	AutoClean	13	17
PCboard-PPE-s-A-C/caz_2dszd.zip::FILE_ID.DIZ	f8f0bd1dda2cb17d987a96db3888db396a461c0f6293c4991c5235b60105606d	eyes-cream-transit	AutoClean	12	16
PCboard-PPE-s-A-C/cr_2ddisc.zip::FILE_ID.DIZ	1328b04d26f71a3128f87b5e6f76a01e58ce513086a80eb388778cc2d7e959a7	nostrum-nine-promotion	ReportOnly	17	18
PCboard-PPE-s-A-C/cr_2drands.zip::FILE_ID.DIZ	b66f59aa5cecf71f9253ef3a5b7337b7632b6ab9296a65bf27c6b18eb26df78c	nostrum-nine-promotion	ReportOnly	17	18
